original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source
1397,মাদার অফ মাফিয়া জুতা বৃষ্টি দরকার ছিল,Abusive,Individual,Mild,"মন্তব্যটিতে একজনকে 'মাদার অফ মাফিয়া' বলে কটাক্ষ করা হয়েছে এবং 'জুতা বৃষ্টি'র কথা বলা হয়েছে, যা নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক (Abusive) বক্তব্য।",rule-contextual
27550,শতভাগের বেশি কিভাবে দেওয়া যায় গাঁজাখুরি দেশের অপদার্থ ক্রিকেটদল সবচেয়ে বড় গাঁজাখোর সাংবাদিকমহল,Abusive,Community,Mild,মন্তব্যটিতে ক্রিকেট দল এবং সাংবাদিকদের 'অপদার্থ' ও 'গাঁজাখোর' বলে গালি দেওয়া হয়েছে। এটি একটি নির্দিষ্ট গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক (Abusive) বক্তব্য।,rule-based
29276,এটিকে বানিজ্যিক ভাবে কাজে লাগাতে পারলে দেশের মানুষের উপকার হতো,None,None,Little to None,"এটি একটি গঠনমূলক ও ইতিবাচক মন্তব্য। এতে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই।",rule-based
14236,বাজপাখির টিমের কোনো খেলোয়াড়ের নাম শুনলাম নাএই নিউজ ভুয়া,None,None,Little to None,"মন্তব্যটিতে একটি সংবাদকে 'ভুয়া' বা মিথ্যা বলা হয়েছে, তবে এতে কোনো গালিগালাজ বা বিদ্বেষমূলক ভাষা নেই। এটি একটি সাধারণ মতামত।",rule-contextual
8703,তো এটা জেনে আমাদের কি লাভ সেটা একটু বলা উচিত না সময় টিভির নিজের দেশের নেতাদের প্রেমিকা অবৈধ বৌ এর অভাব নাই অন্য দেশ নিয়ে মাতামাতি,Abusive,Organization,Mild,মন্তব্যটিতে একটি সংবাদমাধ্যম (সময় টিভি) এবং দেশের নেতাদের ব্যক্তিগত জীবন নিয়ে কটাক্ষ ও আক্রমণাত্মক ভাষা ব্যবহার করা হয়েছে। এটি একটি সংগঠনের বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক (Abusive) বক্তব্য।,rule-contextual
4673,প্রাণী সম্পদ বিভাগের ডাক্তার কি বলতে চেয়েছিলেন বুঝেছেন কেউ,None,None,Little to None,"এটি একটি সাধারণ প্রশ্ন। এতে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই।",rule-based
31742,সবাই জানাশোনা বেহেশত কিনতে চায় এখন কতো বিশেষণেই বিশেষায়িত করবেন এখন এতো গালগপ্পো প্রশংসা চুমাচুমি এতোদিন এদের সংগ্রামের দিনগুলোতে কোথায় ছিলেন পারেনও আপনারা,None,None,Little to None,"মন্তব্যটিতে কিছু মানুষের আচরণ নিয়ে ব্যঙ্গ ও সমালোচনা করা হয়েছে। এতে সরাসরি কোনো গালিগালাজ, অশ্লীলতা বা বিদ্বেষমূলক ভাষা নেই।",rule-contextual
5735,আমি দোয়া করি কুওা লীগ যাতে আরও দেড়শ বছর কমতায় থাকে মিয়ানমার থেকে রোহিংগা তো আমাদের দেশে থাকতে পারছে আমরা কি যাই,Political Hate,Organization,Mild,মন্তব্যটিতে একটি রাজনৈতিক দলকে 'কুত্তা লীগ' বলে গালি দেওয়া হয়েছে এবং ব্যঙ্গ করা হয়েছে। এটি একটি রাজনৈতিক সংগঠনের বিরুদ্ধে মাঝারি মাত্রার রাজনৈতিক বিদ্বেষ (Political Hate)।,rule-contextual
14863,যখন বিএনপি জাতীয় পার্টি ক্ষমতায় ছিলো তখন চাউলের কেজি আর তেলের কেজি কত ছিলো আর আপনার আমলে কত এটা হিসাব মিলালে আপনার জবাব আপনি পেয়ে যাবেন,None,None,Little to None,"মন্তব্যটিতে পূর্ববর্তী এবং বর্তমান সরকারের আমলের দ্রব্যমূল্যের তুলনা করে সমালোচনা করা হয়েছে। এটি একটি সাধারণ রাজনৈতিক মতামত, এতে কোনো বিদ্বেষ বা আক্রমণাত্মক ভাষা নেই।",rule-contextual
31023,এদের অপোপ্রচারে দেশে এবং বিদেশে বাংলা দেশের ভাব মুর্তি খারাপ করছে,None,None,Little to None,"মন্তব্যটিতে 'এদের' বলে কোনো একটি পক্ষের সমালোচনা করা হয়েছে যারা অপপ্রচার করছে বলে দাবি করা হয়েছে, তবে এটি সরাসরি কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নয়।",rule-based
9134,রাশিয়ার মানুষ পুতিন কে পছন্দ করে এটাই পশ্চিমারা সহ্য করতে পারে না অনেক চেষ্টা করতেছে পুতিনকে নামিয়ে রাশিয়া ধ্বংস করে দেয়ার পুতিনকে নামাতে পারলেই রাশিয়ার সম্পদ পশ্চিমা এলিটদের হাতে চলে যাবে,None,None,Little to None,"মন্তব্যটিতে ভূ-রাজনৈতিক পরিস্থিতি সম্পর্কে ব্যক্তিগত মতামত প্রকাশ করা হয়েছে, কোনো নির্দিষ্ট ব্যক্তি বা গোষ্ঠীর প্রতি সরাসরি বিদ্বেষমূলক নয়।",rule-contextual
4326,আসল কারাগারে জাইয়া দেখ কেমন লাগেখাবার খাইবা দুরের কথা কান্না করে ওই শেষ করতে পারবা না,Abusive,Individual,Mild,মন্তব্যটিতে কাউকে উদ্দেশ্য করে কারাগারে যাওয়ার ভয়াবহতা নিয়ে কটাক্ষ ও উপহাস করা হয়েছে। এটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক (Abusive) বক্তব্য।,rule-contextual
25994,হুম নাটক আহারে কি আবেগ রে দেশটা কারো বাবার নাহ,None,None,Little to None,"এই মন্তব্যে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই এবং এটি স্বাভাবিক আলোচনার অংশ।",rule-based
7091,মিথ্যা কে সত্যি বলে প্রতিষ্ঠিত করতে চায় বিরোধী মত দল বলতে কিছু রাখছেন,None,None,Little to None,এটি একটি সাধারণ রাজনৈতিক সমালোচনা যেখানে দাবি করা হয়েছে যে বিরোধী দলকে কোণঠাসা করা হচ্ছে এবং মিথ্যাকে প্রতিষ্ঠিত করা হচ্ছে। এতে কোনো গালিগালাজ বা বিদ্বেষমূলক ভাষা নেই।,rule-contextual
34264,ধিক্কার জানাই মুসলিম বিশ্বের বিশ্ব মুসলিম নেতাদের,Abusive,Community,Little to None,"মন্তব্যটিতে মুসলিম নেতাদের প্রতি ক্ষোভ ও ধিক্কার জানানো হয়েছে, যা রাজনৈতিক বা সামাজিক প্রেক্ষাপটে একটি সাধারণ প্রতিবাদ। এতে কোনো চরম আক্রমণাত্মক বা বিদ্বেষমূলক ভাষা নেই।",rule-contextual
32834,এই মেরুদণ্ডহীন অকার্যকর নির্বাচন কমিশনার দিয়ে সুষ্ঠু নির্বাচন সম্ভব হবে না একমাত্র প্রয়োজন তত্ত্বাবধার সরকার ছাড়া কোন বিকল্প নেই,Political Hate,Organization,Mild,"মন্তব্যটিতে নির্বাচন কমিশনকে ""মেরুদণ্ডহীন"" ও ""অকার্যকর"" বলে আক্রমণ করা হয়েছে, যা মাঝারি মাত্রার রাজনৈতিক বিদ্বেষপূর্ণ বক্তব্য।",rule-contextual
7200,উড়ছে লুঙ্গী লাগছে বেস বাল ছিড়লো বাংলাদেশ কলা মামনি কলা খাও নাইজেরিয়ান ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া,Abusive,Society,Severe,মন্তব্যটিতে অশ্লীল ও কুরুচিপূর্ণ ভাষা ব্যবহার করে আক্রমণ করা হয়েছে। এটি তীব্র ও গুরুতর মাত্রার অশ্লীল বক্তব্য।,rule-contextual
27754,বাঘের মতো গর্জে ওঠো পুতিন আমেরিকা ইউরোপ কে তামা তামা করে দাও,Political Hate,Society,Severe,"মন্তব্যটিতে আমেরিকা ও ইউরোপকে ধ্বংস করার আহ্বান জানানো হয়েছে, যা তীব্র মাত্রার রাজনৈতিক বিদ্বেষ ও সহিংস মনোভাব প্রকাশ করে।",rule-contextual
14527,জো বাইডেনই শুধু আপনার বন্ধু থাকবে আর কাউকে বন্ধু হিসেবে পাবেন না,None,None,Little to None,এটি একটি নিরপেক্ষ মন্তব্য যেখানে কাউকে লক্ষ্য করে কোনো অবমাননাকর বা বৈষম্যমূলক ভাষা ব্যবহার করা হয়নি।,rule-based
12724,আলহামদুলিল্লাহ ভুয়া আল্লাহ ফাকের রহমতে এই সুন্দর ঘটনাটা ঘটলো,None,None,Little to None,"মন্তব্যটিতে ধর্মীয় অনুভূতি বা ইতিবাচক মনোভাব প্রকাশ পেয়েছে, কোনো বিদ্বেষ বা ঘৃণামূলক বক্তব্য নেই।",rule-contextual
842,ভারতকে কিছুু রাখার দরকার ছিলো জারুদেয়া লাগবেনা,Abusive,Society,Mild,"মন্তব্যটিতে একটি দেশকে উদ্দেশ্য করে তাচ্ছিল্যপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-based
27796,নেতাদের নেতা মোদীজি,None,None,Little to None,"মন্তব্যটিতে একজন রাজনৈতিক নেতার প্রশংসা করা হয়েছে, কোনো নির্দিষ্ট ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
26280,আবার উন্নয়ন হবে,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
13563,গোপালভাড় নিজেদের পালানোর পথ খুঁজেক,Abusive,Individual,Mild,"মন্তব্যটিতে নির্দিষ্ট ব্যক্তিকে কটাক্ষ ও উপহাস করা হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-based
32295,তুই কেমনে জানোস ঐ মাদারচোদ তোরা জরিত তুর মারে চুদি আকাম তুরা করে বিএনপির নাম দেছ,Abusive,Individual,Severe,মন্তব্যটিতে অত্যন্ত অশ্লীল ও কুরুচিপূর্ণ গালিগালাজ ব্যবহার করে নির্দিষ্ট ব্যক্তিকে আক্রমণ করা হয়েছে। এটি তীব্র ও গুরুতর মাত্রার অশ্লীল বক্তব্য।,rule-contextual
13358,আওয়ামিলিগ এই জানওয়ারার এই কাজ করেচে,Political Hate,Organization,Severe,"মন্তব্যটিতে একটি রাজনৈতিক দলকে অবমাননাকর ভাষায় আখ্যায়িত করা হয়েছে, যা তীব্র ও গুরুতর মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য।",rule-contextual
2720,কি তামাশা করছে ক্ষমতায় রাখার জন্য এই সরকারকে,Political Hate,Organization,Mild,"মন্তব্যটিতে সরকারকে লক্ষ্য করে সমালোচনা ও কটাক্ষ করা হয়েছে, যা মাঝারি মাত্রার রাজনৈতিক বিদ্বেষপূর্ণ বক্তব্য।",rule-contextual
5568,নেটো অনেক আগ থেকে সেনা পস্তুত করে রেখেছেমসার সাথে যোদ্ধা করবে বলে,None,None,Little to None,"মন্তব্যটিতে একটি সংগঠনকে নিয়ে ব্যঙ্গ করা হয়েছে, তবে এতে কোনো তীব্র ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
22474,লোক পুলিশ দিয় দোরাস কেনো পাগোল,Abusive,Individual,Mild,"মন্তব্যটিতে নির্দিষ্ট ব্যক্তিকে কটাক্ষ করা হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
23528,যুক্তরাষ্ট্রের সেনারা বিবেক হীন,Political Hate,Organization,Mild,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মাঝারি মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
17249,পতিতা মাগী সাংবাদিক তোরা তোদের গুদ দুধ রাস্তার কুকুর দের দেখাস পতিতা বৃত্তি করছিস কুকুর মাগি তোরা তাদের খাবার কস্টো হলেও আল্লাহর আইন কে মেনে নিবে তারা,Gender Hate,Community,Severe,"এই বক্তব্যে নির্দিষ্ট সম্প্রদায় বা গোষ্ঠীর প্রতি ""মাগী"", ""গুদ"" এর মতো অশ্লীল ও লিঙ্গ বৈষম্যমূলক শব্দ ব্যবহার করা হয়েছে, যা তীব্র ও গুরুতর মাত্রার যৌনতাবাদী মনোভাব প্রকাশ করে।",rule-contextual
3327,যুক্তরাষ্ট্রকে বাংলাদেশ থেকে জুতা মেরে বের করে দেওয়া হোক,Political Hate,Society,Severe,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে তীব্র ও গুরুতর মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
5465,কাদিরা ভালা হই যা,Religious Hate,Community,Mild,মন্তব্যটিতে একটি ধর্মীয় সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মাঝারি মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
4744,সাকিব বিসিবিকে বাল বলেও কিছু মনে করে না যেমন বোর্ড তেমন খেলোয়াড়,Abusive,Individual,Severe,"এই মন্তব্যে ""বাল"" এর মতো অশ্লীল শব্দ ব্যবহার করে নির্দিষ্ট ব্যক্তিকে অবমাননা করা হয়েছে, যা তীব্র ও গুরুতর মাত্রার কুরুচিপূর্ণ ভাষা নির্দেশ করে।",rule-contextual
20986,মিনি মাছের মত মিনমিন্ করে এখনও রাজনীতি করতে চান,Abusive,Individual,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
25953,কর আরো রাশিয়া লগে জাউরামি সালারা,Abusive,Society,Mild,এই বক্তব্যে ব্যবহৃত অশ্লীল ভাষা সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে মাঝারি মাত্রার কুরুচিপূর্ণ মন্তব্য নির্দেশ করে।,rule-contextual
21705,বাপে আওয়ামীলীগ করে পোলার সেই পাওয়ার,Political Hate,Individual,Mild,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
4704,ভারতকে হারাবে বাংলাদেশবাংলাদেশ কি দিনেরবেলাতেও স্বপ্ন দেখেআজব পাগলের দেশরে বাবাশোনেও হাঁসি পাচ্ছে,Abusive,Society,Mild,"মন্তব্যটিতে ""পাগল"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে সমাজ বা জাতিকে লক্ষ্য করা হয়েছে। এটি মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual
14921,মানুষের জীবন আপার পেটিকোটে আপা এটাই চাচ্ছেমানবাধিকার লঙ্ঘন বলতে যে কিছউ আছে তা বাংলাদেশে থাকলে বুঝা যায় নাএগুলা কি জাতিসংঘ বা অন্যান্য সংস্থা দেখে নাছি বাংলাদেশ,Gender Hate,Individual,Mild,এই বক্তব্যে লিঙ্গ বৈষম্যমূলক ও আপত্তিকর ভাষা ব্যবহার করে একজন নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার যৌনতাবাদী মনোভাব প্রকাশ করা হয়েছে।,rule-contextual
32061,ঋণ দেবে জাপান ঋণ পরিশোধ করবে জনগণ আর সুবিধা ভোগ করবে ভারত বাংলাদেশের স্বাধীনতা ও সার্বভৌমত্বের উপর চরম আঘাত,Political Hate,Organization,Severe,"মন্তব্যটিতে ঋণ ও সুবিধা ভোগের বিষয়ে ভারত ও বাংলাদেশ সরকারের সমালোচনা করে দেশের সার্বভৌমত্ব নিয়ে শঙ্কা প্রকাশ করা হয়েছে, যা গুরুতর রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
2406,আর্মি এভিয়েশনে কিভাবে জয়েন করে,None,None,Little to None,"এই মন্তব্যে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই, তাই এটি স্বাভাবিক মন্তব্য হিসেবে শ্রেণিবদ্ধ।",rule-based
14245,আমার যাওয়ার সময় হলো দাও বিদায়,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
28386,কিভাবে দেশের একজন প্রদান মন্ত্রী এভাবে মিথ্যা কথা বলতে পারে,Political Hate,Individual,Mild,মন্তব্যটিতে দেশের প্রধানমন্ত্রীর বিরুদ্ধে মিথ্যা কথা বলার অভিযোগ এনে মাঝারি মাত্রার রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে।,rule-contextual
6880,কম বা বেশি হোক টাকা চুরি হবে কেন বিশ্বে তারা দেশের নাম উজ্জ্বল করেছে তার বিপরীতে এটা কি ঠিক হলো যে বা যারা এ কাজ করেছে তাদের মুখও দেশের মানুষের সামনে তুলে ধরা হোক,None,None,Little to None,মন্তব্যটিতে একটি চুরির ঘটনার প্রতিবাদ এবং দোষীদের শাস্তির দাবি জানানো হয়েছে। এতে কোনো গালিগালাজ বা বিদ্বেষমূলক ভাষা নেই।,rule-contextual
4244,ভিখারির বাচ্ছা রা খাই তো কুকুরের মাংস তারা খেলবে ফুটবল কাংলাদেশের নোংরা পাবলিক,Abusive,Community,Severe,"মন্তব্যটিতে একটি নির্দিষ্ট সম্প্রদায় বা জাতিকে উদ্দেশ্য করে ""ভিখারির বাচ্ছা"" এবং ""নোংরা পাবলিক"" এর মতো অত্যন্ত আপত্তিকর ভাষা ব্যবহার করা হয়েছে, যা তীব্র আক্রমণাত্মক বক্তব্য।",rule-contextual
8994,পাখির মত গুলি করে প্যালেসটিনিয়ানদের হত্যা করছে তারপরও মানবাধিকার সংস্থা গুলো ইসরাইলকে কিছু বলে না মানবাধিকার সংস্থা গুলো শুধু বাংলাদেশেই মানবাধিকার নিয়ে সোচ্চার,Political Hate,Organization,Severe,মন্তব্যটিতে মানবাধিকার সংস্থাগুলোর ভূমিকা এবং ইসরাইলের কর্মকাণ্ডের বিরুদ্ধে তীব্র রাজনৈতিক সমালোচনা ও বিদ্বেষ প্রকাশ করা হয়েছে।,rule-contextual
19130,দুর্নীতিবাজ ও উগ্র সন্ত্রাসী আওয়ামী লীগ ১০ ডিসেম্বর সমাবেশ উপলক্ষে ঢাকায় আগত বিএনপির কর্মীদের ওপর গুরুতর আঘাত হানতে পারে তাই প্রত্যেককে জীবন রক্ষাকারী সরঞ্জাম সাথে নিয়ে আসা উচিত,Political Hate,Organization,Severe,"মন্তব্যটিতে একটি নির্দিষ্ট রাজনৈতিক দলকে ""দুর্নীতিবাজ"" ও ""উগ্র সন্ত্রাসী"" হিসেবে আখ্যায়িত করে তীব্র রাজনৈতিক বিদ্বেষ ও উস্কানিমূলক বক্তব্য প্রদান করা হয়েছে।",rule-contextual
8482,এই বর্তমান আওয়ামীলীগ সরকার ইসলাম কে খুব একটা গুরুত্ব দেয়না এটা তার কার্যকলাপের উপরই প্রমাণিত হয় যেটা বাংলাদেশের সংখ্যাগরিষ্ঠ মুসলমানদের জন্য কলঙ্কজনক,Political Hate,Organization,Severe,মন্তব্যটিতে বর্তমান সরকারের বিরুদ্ধে ইসলামকে গুরুত্ব না দেওয়ার অভিযোগ এনে তীব্র রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে।,rule-contextual
21198,বিশ্বের অযোগ্য ও কম ক্ষমতাধর নেতা জো বাইডেন,Political Hate,Individual,Mild,"মন্তব্যটিতে একজন বিশ্বনেতাকে ""অযোগ্য"" বলে সমালোচনা করা হয়েছে, যা মাঝারি মাত্রার রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
27043,গমরুল মাদারী মাদারী চ্যানেলে মাফিয়া সংবাদ,Abusive,Organization,Mild,"মন্তব্যটিতে একটি সংবাদমাধ্যম বা চ্যানেলকে উদ্দেশ্য করে ""মাফিয়া সংবাদ"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করা হয়েছে, যা সংগঠনকে লক্ষ্য করে মাঝারি মাত্রার গালিগালাজ।",rule-contextual
19552,সব যায়গায় রাজনীতি টানবেই এরা,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি; এটি সাধারণ মতামত।",rule-based
22750,বাকি আছে রিকশা আলা জজ আলুর কেজি ৬০ ডিমের হালি ৬০,None,None,Little to None,এই মন্তব্যে দ্রব্যমূল্যের ঊর্ধ্বগতি নিয়ে হতাশা প্রকাশ করা হয়েছে। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-based
2422,নুর জাহানশাহজাহান অনেক অনেক অপকর্মের সাক্ষী,None,None,Little to None,"মন্তব্যটিতে একজন নির্দিষ্ট ব্যক্তির বিরুদ্ধে অপকর্মের অভিযোগ আনা হয়েছে, তবে এতে তীব্র গালিগালাজ বা বিদ্বেষমূলক ভাষা নেই।",rule-based
20780,শিরক হচ্ছে নাতো,None,None,Little to None,মন্তব্যটিতে একটি ধর্মীয় প্রশ্ন বা সন্দেহ প্রকাশ করা হয়েছে। এতে কোনো ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে আক্রমণাত্মক বা বিদ্বেষমূলক বক্তব্য নেই।,rule-based
33531,দেশের টেক্স টাকা দিয়ে ভোগবিলাস আনন্দ উৎসব করে ন খাওয়া জন্য গরীব মানুষ আত্মহত্যা করে দেশের জনগণ মাছ মাংস দলের কথা ডাল ভাত খেতে পারেনা,Political Hate,Organization,Mild,মন্তব্যটিতে সরকারের কর্মকাণ্ড ও দুর্নীতির সমালোচনা করা হয়েছে। এতে রাজনৈতিক সংগঠনকে লক্ষ্য করে নেতিবাচক বক্তব্য থাকলেও আক্রমণের মাত্রা মাঝারি।,rule-contextual
354,আমরা কিছু ভয় করি না আমাদের আছে হাসু আপা আরো আছে কুত্তালীগ,Political Hate,Organization,Severe,"মন্তব্যটিতে একটি রাজনৈতিক দলকে ""কুত্তালীগ"" হিসেবে আখ্যায়িত করে তীব্র রাজনৈতিক বিদ্বেষ ও অপমানজনক ভাষা প্রকাশ করা হয়েছে।",rule-contextual
24872,জনগনকে বোকা বানিয়ে বেশি দূর আগাতে পারবেন না,None,None,Little to None,মন্তব্যটিতে সাধারণ সমালোচনা বা মতামত প্রকাশ করা হয়েছে এবং এতে কোনো আক্রমণাত্মক বা বিদ্বেষমূলক ভাষা নেই।,rule-based
12787,রাম ছাগল হাসলে ভুগলবিরু,Abusive,Individual,Mild,"মন্তব্যটিতে ""রাম ছাগল"" এর মতো আক্রমণাত্মক ও তাচ্ছিল্যপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা ব্যক্তিগতভাবে আক্রমণাত্মক বক্তব্য হিসেবে বিবেচিত।",rule-contextual
17641,আরে ভাই গার্লস স্কুলের সিকিউরিটি মহিলা কে যদি ম্যাডাম বলতে হয় সেখানে ইনি তো ডাক্তার ম্যাডাম বলাই বাহুল্য,None,None,Little to None,"এই মন্তব্যে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই এবং এটি স্বাভাবিক আলোচনার অংশ।",rule-based
33872,তাদের পরীক্ষা দেওয়ার ব্যবস্থা করা হলো খুব ভালো হতো,None,None,Little to None,"এই মন্তব্যে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই এবং এটি স্বাভাবিক আলোচনার অংশ।",rule-based
5363,সময় চ্যানেলের দৃষ্টি আকর্ষণ করছি বঙ্গবন্ধু বানানটি সংশোধন করুন,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
24200,ভাই ভুজা ভালো বেশি ভুজা ভালো না অন্যায় করে কেউ কোনদিন শান্তি পায় নাই,None,None,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based
13820,বাংলাদেশ একটা ব্যার্থ ক্রিকেট টিম বিশ্বদরবারে প্রোতিযোগীতা করার কোন প্লেয়াড় নেই বলার নেই ব্যাটম্যান নেই বাংলাদেশ গত ২৫বছর আগের অবস্থানে আছে এখনো বাংলাদেশ ক্রিকেটবোর্ডের কোন চমক নেই সফলতা নেই বাংলাদেশ বরাবরই প্রতিপক্ষের দূভাগ্যের সুযোগ নিতেমুখিয়ে থাকে বাংলাদেশ প্রতিপক্ষ যেদিন খারাপ খেলে সে দিন ভালো খেলে পাপন্দা হাসিনার মতন রাজতন্ত্র বানিয়ে ক্রিকেটবোর্ড টাকে শুধু চুষে খাচ্ছে,Political Hate,Organization,Severe,"মন্তব্যটিতে রাজনৈতিক ব্যক্তিত্ব এবং ক্রিকেট বোর্ডকে লক্ষ্য করে তীব্র আক্রমণাত্মক ও বিদ্বেষমূলক ভাষা ব্যবহার করা হয়েছে, যা গুরুতর মাত্রার রাজনৈতিক ঘৃণা প্রকাশ করে।",rule-contextual
17534,শ্রমিকদের উচিত কাজ না করে গারর্মেন্স এ চাকরি করা,None,None,Little to None,"এই মন্তব্যে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই এবং এটি স্বাভাবিক আলোচনার অংশ।",rule-based
21338,দিপু মনির মুখে একটু মাল খিচে দিতে চায়,Gender Hate,Individual,Severe,এই মন্তব্যে অশ্লীল ও যৌন ইঙ্গিতপূর্ণ ভাষা ব্যবহার করে একজন নির্দিষ্ট নারী রাজনৈতিক ব্যক্তিত্বের বিরুদ্ধে তীব্র ও গুরুতর মাত্রার যৌনতাবাদী মনোভাব প্রকাশ করা হয়েছে।,rule-contextual
18206,আমি যে টয়লেটে হাগু দেই সেটা মনে হয় হাসিনার মুখের থেকেও পবিত্র,Abusive,Individual,Severe,"মন্তব্যটিতে অত্যন্ত অশালীন ও কুরুচিপূর্ণ ভাষা ব্যবহার করে একজন নির্দিষ্ট ব্যক্তিকে চরমভাবে অপমান করা হয়েছে, যা তীব্র ও গুরুতর মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
34085,ত্রান নিয়ে যান রোহিংগাদের জন্য এইবার ঠেলা সামলান,Abusive,Community,Mild,"মন্তব্যটিতে রোহিঙ্গা সম্প্রদায়কে সমস্যা বা বোঝা হিসেবে ইঙ্গিত করে তাচ্ছিল্যপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা একটি নির্দিষ্ট গোষ্ঠীর বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
